season,week,celebrity_name,judge_total,judge_rank_in_week,week_valid,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,results,placement,elimination_week,relative_judge_score,cumulative_average,trend,is_bottom_2_judge,week_result_score,residual,fan_vote_share,uncertainty_lower,uncertainty_upper,uncertainty_range
1,1,Evander Holyfield,180.0,2.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.0614063438486339,0.0,,True,-0.6690496289808846,-1.6828721331547385,0.1438633008473585,0.1438633008473586,0.1438633008473586,0.0
1,2,Evander Holyfield,140.0,6.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-1.3870232926631427,180.0,-40.0,True,-0.6690496289808846,0.1782113395079294,0.1624897052036942,0.1624897052036942,0.1624897052036942,0.0
1,3,Evander Holyfield,130.0,5.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.479632096879272,160.0,-10.0,True,-1.3156767939059373,-1.1117930728188483,0.1750637008377068,0.1750637008377068,0.1750637008377068,0.0
1,1,Joey McIntyre,200.0,1.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.675469782334978,0.0,,False,0.6690496289808847,-0.9288798779290988,0.1551298913285113,0.1551298913285113,0.1551298913285113,0.0
1,2,Joey McIntyre,210.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.1874355800896141,200.0,10.0,False,0.6690496289808847,-0.0279240994363411,0.1591745029565859,0.1591745029565859,0.1591745029565859,0.0
1,3,Joey McIntyre,220.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.4453726613878956,205.0,10.0,False,0.3894647667617231,-0.3887476685960908,0.1881904445283121,0.1881904445283121,0.1881904445283121,0.0
1,4,Joey McIntyre,200.0,4.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.3858638550261196,210.0,-20.0,True,0.0,-0.4093876565429082,0.2390515878690159,0.239051587869016,0.239051587869016,0.0
1,1,John O'Hurley,200.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.675469782334978,0.0,,False,1.5339303599259546,-0.0639991469840288,0.1691440718065631,0.1691440718065631,0.1691440718065631,0.0
1,2,John O'Hurley,260.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,1.3120490606272976,200.0,60.0,False,1.5339303599259546,-0.219677939311722,0.1561513484483957,0.1561513484483957,0.1561513484483957,0.0
1,3,John O'Hurley,240.0,2.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.6509292743361552,230.0,-20.0,False,1.3156767939059364,0.1291292624621978,0.1981931669961829,0.1981931669961829,0.198193166996183,2.775557561562892e-17
